Saint John Community Center,0,14320 Kercheval St Detroit  MI 48215 ,38-3390375,NA,NA,313-824-2248,Human Service,Non profit organization,to provide food and shelter for the homeless of Detroit,NA,Photo save,NA,313-823-8323,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/St-John-Congregational-Church/113458992021930,NA,NA,NA,27/2/2018
CENTRO MULTICULTURAL LA FAMILIA INC,0,35 W Huron Suite 500 Pontiac  MI 48342 USA,20-8900737,sacosta@centromulticultural.org,www.centromulticultural.org,248-858-7800,Human Service,We are a private  not-for-profit  mission-driven organization that provides comprehensive services to a diverse community. While most of the clients we serve now are of Hispanic descent  we strive to offer services to a broader cultural community.,To provide culturally competent support services to families in a holistic approach in order to improve their quality of life,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/centromulticultural,Centro Multicultural La Familia does not have any upcoming events.,NA,NA,27/2/2018
Urban Neighborhood Initiatives Inc,0,8300 LONGWORTH ST DETROIT   MI 48209 ,38-3417161,NA,WWW.DNIDETROIT.ORG,313-841-4447,Human Service,ONI ENGAGES IN COMPREHENSIVE ACTION TO ADDRESS HUMAN AND COMMUNITY DEVELOPMENT. INDIVIDUALS AND  FAMILIES ARE ENTHUSED AS THEY PROSPER AND BECOME ENCOURAGED TO INVEST IN THEIR HOMES AND COMMUNITIES.,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,27/2/2018
First Ward Community Service,0,1410 N 12TH STREET SAGINAW  MI 48601 ,38-1367311,cdalton@firstward.us,WWW.FIRSTWARD.US,989-753-0411,Human Service,First Ward Community Service a 501 (c) 3  non-profit organization is celebrating its 85th year in the Saginaw community. We are so excited to reach this milestone and celebrate all of its accomplishments throughout these 85 years.,THE MISSION OF FIRST WARD COMMUNITY SERVICE IS TO POSITIVELY INFLUENCE THE LIVES OF PEOPLE IN OUR COMMUNITY  BY FOCUSING ON LOW-MODERATE INCOME FAMILIES AND SENIORS. WE ADDRESS SOCIAL AND BEHAVIORAL NEEDS TO CHANGE THE ENVIRONMENT. WE PROVIDE PREVENTION EDUCATION AND RECREATION  WHICH IMPROVES QUALITY OF LIFE AND PROMOTES HEALTHY LIVING. OUR MISSION IS FUNDED THROUGH FUND DEVELOPMENT  FOUNDATIONS  INDIVIDUALS  FEDERAL  STATE AND LOCAL FINANCIAL INSTITUTIONS AND SPECIAL EVENTS. THE KEY TO OUR SUCCESS IS COLLABORATING WITH COMMUNITY PARTNERS TO OPTIMIZE PROGRAMS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FirstWard1410/about/?ref=page_internal,First Ward Community Service does not have any upcoming events.,NA,NA,27/2/2018
Beatrice & Reymont Paul Foundation,0,5912 Shillingham Dr W Bloomfield   MI 48322 ,20-1279991,team@paulfoundation.org,WWW.PAULFOUNDATION.ORG,NA,Human Service,The Beatrice and Reymont Paul Foundation was established in 2004. The Foundation brings people and resources together in the areas of medicine  education  community and culture. Our mission is to provide economic and strategic support along with consultancy to organizations.,To provide economic and strategic support along with consultancy to organizations. We believe this type of partnership is an essential role of philanthropy and a critical element for the sustainability of the organizations we support. We bring people and resources together to create the extraordinary!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/Beatrice-Reymont-PAUL-Foundation-1886263684954332/,NA,NA,NA,27/2/2018
My Beloved Group Home,0,24260 RADCLIFT ST OAK PARK   MI 48237 ,35-2401568,mybelovedhome@aol.com,www.mybelovedgrouphome.com,248-470-0063,Human Service,My Beloved Group Home is a non-profit organization that prides itself on serving a diverse community of individuals.  Our goal is to encompass supervised quality care with independence.  We work in conjunction with physicians  case managers  family/friends  and most of all the client. ,TO PROVIDE A STABLE AND SAFE ENVIRONMENT FOR THOSE CONSUMERS WHO DESIRE TO LIVE INDEPENDENTLY BUT REQUIRE SUPERVISION TO PROVIDE SERVICES TO THE MENTALLY ILL  DEVELOPMENTALLY HANDICAPPED  ALZEIMERSVICTIMS. THIS ENVIRONMENT WILL HELP PROMOTE PHYSICAL  EMOTIONAL AND SOCIAL SKILL.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/My-Beloved-Group-Home-877678008975966/,NA,NA,NA,27/2/2018
Lifelong Advocacy Inc,0,43970 N GRATIOT AVE CLINTON TWP   MI 48036 ,45-2856633,dwitherow@lifelongadvocacy.org,WWW.LIFELONGADVOCACY.ORG,586-846-2457,Human Service,LifeLong ADVOCACY is a 501c3 non-profit agency serving as a 3rd party billing agency that processes payroll for consumers who participate in the Self-Determination program. By doing so at a high and efficient level  we like to think that we enrich the lives of the population that we serve.,TO PROVIDE FISCAL INTERMEDIARY SERVICES FOR INDIVIDUALS WITH DEVELOPMENTAL DISABILITIES WITHIN THE PARAMETERS OF STATE AND FEDERAL LAWS AND REGULATIONS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,There are no events scheduled during this period.,NA,NA,27/2/2018
Great Lakes Fishery Commission,0,2100 COMMONWEALTH BLVD STE 100 ANN ARBOR  MI 48105 ,38-1539304,NA,WWW.GLFC.ORG,734-662-3209,Animal Related,The Great Lakes Fishery Commission was established in 1955 by the Canadian/U.S. Convention on Great Lakes Fisheries. The commission coordinates fisheries research  controls the invasive sea lamprey  and facilitates cooperative fishery management among the state  provincial  tribal  and federal management agencies.,GREAT LAKES FISHERY COMMISSION IS AN INTERNATIONAL TREATY ORGANIZATION ESTABLISHED TO MANAGE SEA LAMPREY AND IMPROVE FISH STOCKS IN THE GREAT LAKES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/LampreyControl/,NA,NA,NA,21/3/2018,
Michigan Humane Society,0,30300 Telegraph Road Suite 220 Bingham Farms  MI 48025 USA,38-1358206,dginis@michiganhumane.org,www.michiganhumane.org,248-283-1000,Animal Related,Founded in 1877  the Michigan Humane Society is the states oldest and largest animal welfare organization and works to improve and save lives through compassionate care  community engagement and advocacy for animals.,The mission of the Michigan Humane Society is to improve and save lives through compassionate care  community engagement and advocacy for animals.,Whether you wish to work at a Michigan Humane Society adoption center  our administrative office  or at special events  the MHS Volunteer Program provides a wide variety of opportunities for concerned  caring individuals to help make a difference in the lives of animals today. MHS offers a structured  well-supported program and truly appreciates our dedicated volunteers who help us change animal lives every day. In order for MHS to provide the best possible program for the animals and volunteers alike  potential volunteers will fill out an online application  and register for a welcome meeting; depending on your interests and open volunteer positions  further training may be required.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/michiganhumane,Sgt. Stubbys On Screen Countdown  Apr 13 at 6 AM to Apr 26 at 9 PM EDT  United States,NA,NA,21/3/2018,
John Ball Zoo,0,PO Box 2506 Grand Rapids  MI 49501 USA,38-6076879,info@jbzoo.org,www.jbzoo.org,616-336-4301,Animal Related,Zoo Park and Pet care service,John Ball Zoo inspires our community to be actively engaged in the conservation of wildlife and our natural environment.,Adult Volunteer Opportunities  For those 18+: Animal Care - Keeper Help  or Commissary  Animal Care - Diver  Education  Horticulture  Teen Volunteer Opportunities  For those entering 9th-12th grade in fall  Counselor in Training or CIT  Zoo Teen  Group Volunteer Opportunities  One time volunteering for corporate or college groups,Photo save,1300 West Fulton St Grand Rapids  MI 49504 ,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/JBZoo/about/?ref=page_internal,FrogWatch Volunteer Training  Saturday  April 14 at 2 PM - 3:30 PM EDT  1300 W. Fulton St.  49504,West Fest  17th May 2018  4:00PM  John Ball Park Dr NW  Grand Rapids  MI 49504  United States,West Fest  18th May 2018  12:00PM  John Ball Park Dr NW  Grand Rapids  MI 49504  United States,21/3/2018,
HUMANE SOCIETY OF HURON VALLEY,0,3100 Cherry Hill Rd Ann Arbor  MI 48105 USA,38-1474931,jaci@hshv.org,www.hshv.org,734-662-5585,Animal Related,HSHV is a not-for-profit  tax-exempt public charity. We are independently run and rely on the generosity of people like you to continue our mission to support the loving  responsible care of every animal in our community. HSHV is not affiliated with or funded by Michigan Humane Society or any other humane organization.,Pet adoptions  Full-service affordable veterinary clinic  Dog training  Trap-Neuter-Return program  Barn cats  Humane wildlife removal service  24/7 emergency animal rescue  Humane education  including childrens birthday parties and Camp PAWS  And be sure to check out our new cat caf??: The Tiny Lions lounge and adoption Center!,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/humanesocietyhuronvalley,Tiny Lions New Volunteer Orientation  26th May 2018  7:30PM  5245 Jackson Rd  Suite A1  Ann Arbor  Michigan 48103,Tiny Lions New Volunteer Orientation  28th July 2018  7:30PM  5245 Jackson Rd  Suite A1  Ann Arbor  Michigan 48103,Family Mew-vie Night  13th April 2018  7:30PM  5245 Jackson Rd  Suite A1  Ann Arbor  Michigan 48103,21/3/2018,
Robert F Beard Charitable Foundation,0,PO Box 698 Ada  MI 49301 ,38-3168934,NA,NA,734-453-0209,Animal Related,NA,NA,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
Michigan Anti Cruelty Society,0,13569 JOS CAMPAU DETROIT  MI 48212 ,38-1420301,info@macsshelter.org,www.macsshelter.org,313-891-7188,Animal Related,Since 1935  the Michigan Anti-Cruelty Society (MACS) has dedicated its efforts to providing refuge to stray  injured  and forgotten animals. We work to promote humane education and actively initiate affirmative legislative action.,TO MAINTAIN AND OPERATE A HOSPITAL  AMBULANCE AND VETERINARY SERVICES FOR THE CARE OF ANIMALS. THE MAINTENANCE AND OPERATION OF KENNELS AND SUITABLE CHAMBERS FOR THE HUMANE DESTRUCTION OF WOUNDED ANIMALS.,NA,Photo save,13557 Joseph Campau Detroit  MI 48212,313-369-9863,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/macs1935/about/?ref=page_internal,Michigan Anti-Cruelty Society does not have any upcoming events.,NA,NA,21/3/2018,
Binder Park Zoological Society  Inc.,0,7400 Division Dr Battle Creek  MI 49014 USA,51-0163223,dthompson@binderparkzoo.org,www.binderparkzoo.org,269-979-1351,Animal Related,Connecting kids and families with animals and fun is what Binder Park Zoo is all about! A trip to the Zoo offers families a chance to experience a quality recreational experience while being surround by nature. Situated on 433 acres  Binder Park Zoo is not your typical Zoo and features a variety of rides and exhibits  like the award-winning Wild Africa. In Wild Africa  guests go on safari through a 50-acre African national park; including an 18-acre savannah hosting herds of impala  zebra  antelope  gazelle  and ostrich  and the Twiga Overlook where you can hand-feed one of the nation???s largest herds of giraffe! Upon your arrival back to the U.S.  you are greeted by Mexican wolves  Chinese red pandas  kangaroos and a snow leopard! Don???t forget to stop by and see the three American black bears recently added to the Zoo.,Through nurturing empathy  understanding  and conservation of nature  Binder Park Zoos mission is to impact our regions economy  to meet the social needs of our region  and to educate our constituents to the wonders of the world.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/binderparkzoo,Binder Park Zoo does not have any upcoming events.,NA,NA,21/3/2018,
Little Traverse Bay Humane Society,0,1300 W CONWAY RD HARBOR SPGS  MI 49740 ,38-1384441,NA,www.ltbhs.com,231-347-2396,Animal Related,Serving the needs of homeless animals in the community since 1951  Little Traverse Bay Humane Society is a no-kill shelter that offers a temporary home to companion animals. Little Traverse Bay Humane Society is located between Harbor Springs and Petoskey  Michigan  and offers pet adoptions in addition to veterinary services  boarding  grooming  doggy daycare and training.,Little Traverse Bay Humane Society is a donor-funded  non-profit corporation that offers a temporary home to companion animals. As a no-kill shelter  our mission is to offer warm shelter  veterinary services  and personal attention to all the animals in our care  as well as proactive methods to control pet overpopulation. Little Traverse Bay Humane Society is committed to educating the public about the humane treatment of companion animals.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/ltbhs/,Junk in the Trunk  Saturday  June 2 at 10 AM - 1 PM EDT  1922 M 119  Petoskey  Michigan 49770,NA,NA,21/3/2018,
All About Animals Rescue,0,23451 Pinewood Street Warren  MI 48091 USA,20-3006686,clinic@allaboutanimalsrescue.org,www.allaboutanimalsrescue.org,586-879-1745,Animal Related,All About Animals Rescue is a 501 (c)(3) non-profit animal welfare organization working to stop pet homelessness before it starts. The mission is clear; No More Homeless Pets. Founded in Michigan in 2005  we focus on the fundamentals; reducing overpopulation and facilitating health  education and adoption. We provide low-cost to no-cost  high quality  high volume  spay/neuter; affordable wellness care; community cat management solutions and pet adoption. We are the largest spay/neuter clinic in the United States and make our services available to the public  shelters  rescue community and municipalities.,AAAR???s vision is clear ??? No More Homeless Pets. This can be accomplished by focusing on the fundamentals ??? reducing overpopulation and facilitating health and adoption. AAAR seeks to promote that vision by becoming the premier spay/neuter and adoption provider in the State of Michigan. Through individual and collaborative efforts  the vision of No More Homeless Pets is within our sights.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/allaboutanimalsrescue,Hazel Park Shot Clinic  Saturday  April 14 at 10 AM - 2 PM EDT  24211 Couzens Ave  Hazel Park  MI 48030-1247  United States,Stray Cats? TNR - Trap Neuter Return Training and Community Cat Education Class  Sunday  April 8 at 11:30 AM - 2 PM EDT  23451 Pinewood St  Warren  Michigan 48091,Flint TNR Class - Find out how to help stray cats!  Sunday  April 15 at 2 PM - 4:30 PM EDT  W Atherton Rd  Flint  MI 48507  United States,21/3/2018,
Humane Society of West Michigan,0,3077 Wilson Dr NW Grand Rapids  MI 49534 USA,38-1360926,cturner@hswestmi.org,www.hswestmi.org,616-453-8900,Animal Related,Humane Society of West Michigan  a 501(c)3 non profit organization  assists over 8 000 animals annually. We are 100% donor-funded! We receive no funding from the government or national animal welfare organizations. Caring individuals and businesses in our community support our mission to rescue hurt  abused and abandoned animals and find them a new forever home. Additional programs help reduce pet overpopulation  provide assistance to low income pet owners  behaviorally assess animals and reunite lost pets with their owners. ,To promote the humane treatment and responsible care of animals in West Michigan through education  example  placement and protection.,Groups are typically enlisted to help with grounds maintenance tasks. Including: weeding  painting  laundry  general cleaning etc. Guidelines: Groups must consist of 4-8 people  Willing to commit to a 2-4 hour shift  Make arrangements 3 weeks in advance  Availability: Mon-Thurs 8:30am-4:00pm. OFF-SITE VOLUNTEERING Humane Society of West Michigan occasionally has animals at off-site locations in order to help them get adopted. One of these locations is PetSmart on 28th St. Volunteers are needed to care for these cats in the mornings by scooping litter  cleaning  and feeding the cats. Volunteers can also socialize and play with cats as long as they would like!,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/hswestmi,Brushes with Benefits Paint Party Benefiting Humane Society West MI!  Tuesday  March 27 at 6 PM - 8 PM EDT  83 Monroe Center  Grand Rapids  Michigan 49503,Brushes with Benefits Paint Party Fundraiser for Humane Society of West MI  Monday  March 26 at 7 PM - 9 PM EDT  2630 East Beltline Avenue Southeast  Grand Rapids  Michigan,Brushes with Benefits Paint Party Benefiting Humane Society West MI!  Friday  April 27 at 6 PM - 8 PM EDT  83 Monroe Center  Grand Rapids  Michigan 49503,21/3/2018,
Michigan Mobile Pet Imaging,0,15500 LUNDY PARKWAY SUITE 127 DEARBORN   MI 48126 ,33-1086165,NA,NA,313-586-5671,Animal Related,Pet care service,TO ACQUIRE  ESTABLISH  CONSTRUCT  DEVELOP  OPERATE  MANAGE OR ARRANGE FOR MANAGEMENT OF  AND MAINTAIN A MOBILE PET/CT SCANNER ROUTE FOR THE CARE AND TREATMENT OF PERSONS WHO ARE ACUTELY ILL OR WHO OTHERWISE REQUIRE MEDICAL CARE AND RELATED SERVICES; AND TO INITIATE  SPONSOR  CARRY OUT  PARTICIPATE IN  AND CONTRIBUTE TO PROGRAMS FOR THE CARE AND TREATMENT OF THE SICK  INFIRM  AGED  AND DISTRESSED  AND FOR THE PROMOTION OF THE GENERAL HEALTH OF THE COMMUNITY.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
CASCADES HUMANE SOCIETY INC,0,1515 Carmen Dr Jackson  MI 49202 USA,38-1781494,hleszczynski@chspets.org,www.chspets.org,517-787-7387,Animal Related,Cascades Humane Society is an independent 501(c)3 organization. CHS relies primarily on the generosity of individuals  foundations  corporations and special events to support our services and programs. CHS receives no funding from federal  state or county government  or other national or state humane organizations.,Cascades Humane Society connects animals in need with people who care by providing a safe haven for animals  pet placements  behavioral assistance  reduced spay/neuter procedures  Pet Food Pantry  Trap/Neuter/Release TNR service  lost/found reporting  dog park and educational programs.,Current Opportunities :Cascades Humane Society offers volunteers a wide range of opportunities to meet your volunteering needs while you help our animals. Volunteers are involved in virtually all aspects of CHS  from caring for animals to keeping up the grounds. Opportunities include: Animals Care  Dog Walking  Housekeeping  Foster Care  Special Events  Maintenance/Grounds  Administrative/office  Gardening  Greeter.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/chspets/about/?ref=page_internal,Art and Food Fundraiser for Cascades Humane Society  Saturday  April 21 at 11 AM - 1 PM EDT  225 S Mechanic St  Jackson  Michigan 49201,Paws & Claws Expo  Saturday  April 14 at 10 AM - 2 PM EDT  American 1 Event Center at the Jackson County Fairgrounds,Art and Food Fundraiser for Cascades Humane Society  Saturday  April 21 at 11 AM - 1 PM EDT  225 S Mechanic St  Jackson  Michigan 49201,21/3/2018,
CAPITAL AREA HUMANE SOCIETY,0,7095 W Grand River Avenue Lansing  MI 48906 USA,38-1601542,jwillson@adoptlansing.org,www.AdoptLansing.org,517-626-6060,Animal Related,At the Capital Area Humane Society  we are passionate about animals. Our wide variety of programs and services exist to serve the pets and people of Mid-Michigan. We have an excellent staff of nearly 40 animal lovers who see each adoption as a victory. More than 2 500 volunteers devote 32 000+ hours of time each year to ensure our animals are properly socialized  exercised  and loved.,To promote the humane treatment of companion animals through protection  placement  education  and example.,Volunteer Opportunities: Dog Socialization  Cat Socialization  Housekeeping  Administrative/Office  Foster Care  Education Counselor  Greeter  Special Events  Offsite Adoption Events,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/CAHSLansing,"Fur Ball Gala ""A Night in Pawris""  Saturday  April 21 at 6 PM - 11 PM EDT  Eagle Eye Golf Club",NA,NA,21/3/2018,
Florence E Herman Charitable Trust,0,211 S ROSE ST KALAMAZOO  MI 49007 ,38-6567414,trust@greenleaftrust.com,www.greenleaftrust.com,800.416.4555,Animal Related,Our independence frees us from conflicts of interest and ensures that our clients??? well-being is at the center of everything we do. We adhere to the highest standards of fiduciary excellence while providing personalized service and solutions. The pillars of our core culture underpin our mission; we have no financial products to sell  but rather a service we provide to enhance our clients??? financial security.,Despite our firm???s name  you don???t need a trust to work with us. Individuals  families  foundations  endowments  corporations and non-profits alike rely on us to exceed their wants  needs and requirements. With approximately 100 employees working from Kalamazoo  Birmingham  Traverse City and Petoskey  our ratio of client relationships to client centric teams is one of the best in our industry.,NA,Photo save,NA,269.388.9800,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
Particular Council of Lansing Society of Saint Vincent De Paul,0,1020 S Washington Ave Lansing  MI 48910 ,38-1474956,NA,WWW.SVPDLANSING.ORG,517-484-5395,Animal Related,Pet care service,PROVIDE AID TO THE AREAS NEEDY.,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
Macomb County Humane Society,0,11350 22 MILE RD SHELBY TWP   MI 48317 ,38-6120195,info@humanesocietyofmacomb.org,WWW.HUMANESOCIETYOFMACOMB.ORG,586-731-9210,Animal Related,The Humane Society of Macomb  our doors opened in May 1967 and since then we have worked to help those who cannot speak for themselves. We do this in a number of ways. We provide humane care for unwanted  abused and injured animals. We work to prevent cruelty to animals  and place adoptable pets into good  permanent homes with responsible owners and promote spaying and neutering to prevent overpopulation.,PROVIDE CARE FOR HOMELESS/ABUSED ANIMALS  Our main purpose is help those who cannot speak for themselves. To fulfil this purpose we: Provide humane care for unwanted  abused & injured animals  Prevent cruelty to animals  Place adoptable pets into good  permanent homes with responsible owners  Promote spay & neutering  to prevent overpopulation through education,We are in need of groomers  caregivers and other volunteers: Professional groomer(s) are always welcome to help clean up  trim  and bathe animals to make them more adoptable. Animal caregivers socialize with our animals (give them lots of TLC) to help relieve the stress of being in a kennel and seeing only strangers walking by. Writers help with our newsletter. We need articles about animal care ??? Do???s / Don???ts with pets and human interest stories. Activity Volunteers help us with yearly activities at our animal shelter.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/humanesocietyofmacomb/?fref=ts,Humane Society of Macomb does not have any upcoming events.,NA,NA,21/3/2018,
FRIENDS FOR ANIMALS OF METRO DETROIT,0,2661 Greenfield Rd Dearborn  MI 48120 USA,38-3171570,egreene@dearbornanimals.org,www.DearbornAnimals.org,313-943-2697,Animal Related,The Dearborn Animal Shelter is operated as a city service under the jurisdiction of the Police Department Ordinance Division. The shelter has been operated by the Friends for Animals of Metro Detroit  a 501(c)(3) nonprofit organization  under contract with the city since 1996.,The Friends are dedicated to the rescue and protection of animals in the community  while inspiring healthy relationships between people and their companion animals. As animal advocates  we are committed to saving all adoptable animals. Providing high quality animal care and adoption services. Delivering innovative outreach programs and activities that promote education. Promoting animal welfare legislation. Embracing environmental responsibility with earth-friendly practices and facilities.,Volunteer Opportunities: Since our inception in 1993  the Friends for Animals of Metro Detroit (FAMD) has relied on dedicated volunteers to operate. In order to serve the 2 500 animals who come through our doors each year  volunteer assistance is essential to provide care and attention  as well as raise funds and awareness in the community. Here are a few examples of the ways you can help: In-Shelter Help: From washing dishes to clicker training cats and dogs to counseling potential adopters  we have many roles available for you to work directly with the animals! There is always a need for your help at our facility. Off-Site Adoptions: Show off deserving cats at one of our Petco or PetSmart cat centers  or help cats and dogs find forever homes at offsite events. Volunteer at our two large tent adoption events each summer to participate in dozens of happy endings at once! Help us showcase our animals at various venues around town. Fundraising: Assist our development team to bring in life-saving funds by working at fundraising events  managing a donation canister location  making thank-you calls  and more. Bonus: Each May  many volunteers are needed for our Mutt Strut Walk and Pet Expo  one of our largest fundraisers and a very popular volunteer opportunity! Community Outreach: Help FAMD to raise awareness of shelter services and companion animal issues by manning a booth at local events  or giving presentations for local school and community groups. Take a shelter dog and you???ll be an instant hit! Foster: Temporarily bring an animal into your home and heart! Take home a nursing mom and her litter  or care for an animal recovering from an illness or injury. Can???t commit to a longer-term foster? No problem! Try our Slumber Party  and give an adoptable dog an overnight break from the shelter. You can also ???foster??? interest by promoting an animal through social media  work  or school via our iFoster program.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/MetroDetroitAnimals/,3rd Annual Fur Ball  Saturday  April 28 at 6 PM - 11 PM EDT  46100 Grand River Ave  Novi  Michigan 48374,2018 Mutt Strut Walk & Run  Saturday  May 12 at 8 AM - 3 PM EDT  22051 Cherry Hill St  Dearborn  Michigan 48124,NA,21/3/2018,
Kalamazoo County Humane Society,0,4239 S Westnedge Ave Kalamazoo  MI 49008 USA,38-1474932,awinters@kazoohumane.org,www.kazoohumane.org,269-345-1181,Animal Related,The Kalamazoo Humane Society was founded in 1897 and has served the community for over 100 years in the area of animal welfare and protection. KHS is a leader in animal cruelty prevention  pet population control and humane education.,As a non-sheltering facility  KHS works with the Kalamazoo County Animal Services & Enforcement Department to address the needs of stray and homeless animals  to eliminate animal suffering and to provide pet adoption counseling to citizens interested in adopting a pet.,Volunteering with the Kalamazoo Humane Society offers you the chance to make a difference in the lives of the animals of our community. Our volunteers are our most important asset and they do a remarkable job for the animals and our programs. Please be aware that the Kalamazoo Humane Society is a non-shelter facility  so we do not have animals on-site. There is a wide variety of volunteer opportunities for those wanting to share their time.,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/KazooHumane,Dog Walk & K-9 Festival 2018  Saturday  May 5 at 9 AM - 2 PM EDT  899 E U Ave  Vicksburg  Michigan 49097,NA,NA,21/3/2018,
Great Lakes Fishery Trust Inc,0,230 N WASHINGTON SQ STE 300 LANSING   MI 48933 ,38-3331471,NA,WWW.GLFT.ORG,517-371-7468,Animal Related, The Great Lakes Fishery Trust (GLFT) was created in May 1996 as a means of compensating the residents of Michigan for the lost use and enjoyment of the fishery resources of Lake Michigan caused by the operation of the Ludington Pumped Storage Plant (LPSP)  located in Ludington  Michigan. In 1973  Consumers Energy (formerly Consumers Power Company) and the Detroit Edison Company began commercial operation of the LPSP. The jointly owned hydroelectric generating facility draws water from Lake Michigan into an upland reservoir though large  reversible pump-turbines during periods of low electric demand and generates power by discharging water from the reservoir during periods of peak demand.,THE PURPOSE OF THE TRUST IS TO MITIGATE FOR THE USE AND ENJOYMENT OF LAKE MICHIGAN FISHERY RESOURCES FOREGONE AS A RESULT OF THE OPERATION OF THE LUDINGTON PUMPED STORAGE PLANT AND TO BENEFIT THE GREAT LAKES FISHERY BY PROVIDING FUNDING FOR THE ENHANCEMENT  PROPAGATION  PROTECTION AND REPLACEMENT OF GREAT LAKES FISHERIES RESOURCES.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,21/3/2018,
Potter Park Zoological Society,0,1301 S Pennsylvania Ave Lansing  MI 48912 ,38-2153808,zoocontact@ingham.org,WWW.POTTERPARKZOO.ORG,517-342-2718,Animal Related,Located in the capital city  Potter Park Zoo is home to 160 species representing over 500 individual animals from all corners of the earth! Seasonal features include a walk-through aviary  camel and pony rides  plus tons of special events.,DEDICATED TO THE SUPPORT OF POTTER PARK ZOO AND INSPIRING PEOPLE TO CONSERVE ANIMALS IN THE NATURAL WORLD.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/potterparkzoo/about/?ref=page_internal,Potter Park Zoo: An Evening of Awesome  Interactive Experiences  Friday  April 13 at 5 PM - 8 PM EDT  1301 S Pennsylvania Ave  Lansing  Michigan 48912,FrogWatch USA Training at Potter Park Zoo  24th March 2018  9:00AM  1301 S Pennsylvania Ave  Lansing  Michigan 48912,FrogWatch USA Training at Potter Park Zoo  25th March 2018  12:00PM  1301 S Pennsylvania Ave  Lansing  Michigan 48912,21/3/2018,
Saginaw Valley Zoological Society,0,1730 S WASHINGTON AVE SAGINAW   MI 48601 ,38-2801805,NA,WWW.SAGINAWZOO.COM,989-759-1408,Animal Related,With more than 10 acres of beautiful tree-filled parkland  animal exhibits  exciting events  colorful gardens  miniature train and the regions only hand-carved carousel  theres something for you at the Zoo!,Newly Accredited by the Association of Zoos and Aquariums. With more than 10 acres of beautiful tree-filled parkland  animal exhibits  exciting events  colorful gardens  miniature train and the regions only hand-carved carousel  theres something for you at the Zoo,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/childrenszoo,Run Like an Animal  Sunday  April 29 at 6:30 AM - 1 PM EDT  8400 OHern  Saginaw  Michigan 48609,Celebrate Earth Day!  Saturday  April 21 at 10 AM - 2 PM EDT  1730 S Washington Ave  Saginaw  Michigan 48601,Zooseum: Wade into the Wetlands  Jul 23 at 9 PM to Jul 26 at 4 PM EDT  315 W. Genesee Ave.  Saginaw  Michigan 48602,21/3/2018,
