organization_name,parent_id,address,tax_id,Email,web_url,phone,cause,about_us,our_activity,why_us,Photos,address1,phone2,irs_rank,fb_url,event1,event2,event3,submission_date
Tau Beta Pi Michigan Alpha Chapter Michigan State University,0,5050 ANTHONY WAYNE DR DETROIT, MI 48202,23-7050983,engadmissions@wayne.edu,www.egr.msu.edu/tbp/links.html,313-577-3780,Education,Tau Beta Pi is the national engineering honor society,The Wayne State University College of Engineering improves quality of life through engineering and computer science education, research innovation and entrepreneurship,These state-of-the-art facilities, combined with cutting-edge research and strong academics, have allowed the college to become a key player in Michigan???s transition from a manufacturing economy to a strong, effective and diversified high tech global marketplace,Photo save,NA,NA,This organization is required to file an IRS Form 990-N,https://www.facebook.com/WayneStateEng/,Wayne State University College of Engineering does not have any upcoming events,NA,NA,NA
The Ark Association - Detroit,0,"PO BOX 13280 DETROIT , MI 48213",02-0795267,butlerklodian@hotmail.com,www.thearkassociation.org,313-460-2709,Youth Development,Nonprofit Organization,"Our organization's mission is dedicated to developing programs to assist people from the community with physical, mental, financial and addictive challenges in becoming more productive members of society through direct assistance, referrals, advocacy and public awareness. ","There are many needs out on the streets; however, just a penny a day will help prepare a meal which makes all the difference to a hungry person. When that person is nourished, he or she is able to think about more than the immediate need of eating. This allows the individual the ability to take the next step toward the door of opportunity. Your donation allows us to be your ambassadors on the street with a message of hope for new beginnings and a a brighter tomorrow.",Photo save,"4270 E. Outer Drive Detroit, Michigan 48213-3289",NA,This organization is required to file an IRS Form 990-N.,https://www.facebook.com/people/The-Ark-Association/48807408829,EVERY SATURDAY TAKIN' IT TO THE STREETS Outreach to our friends who are homeless! We meet at 1:45 p.m. at Roosevelt Park in Detroit located at Michigan Avenue & W. Vernor Hwy just in front of the Michigan Central Train Depot,"The 10th ANNUAL DANIEL DOYLE MEMORIAL RUN SEPTEMBER 24TH MARK YOUR CALENDARS NOW!!! PRIZES, AWARDS, AND LUNCH JOIN US FOR THIS FUN RUN THROUGH THE CITY STREETS OF DETROIT AND ALONG THE RIVER! Proceeds will go to the Daniel Doyle Community Resource Center.",NA,NA
Franklin-Wright Settlements Inc,0,"3360 CHARLEVOIX ST DETROIT , MI 48207 ",38-1845857,info@franklinwright.org,www.FRANKLINWRIGHT.ORG,313-579-1000,Human Service,"Franklin-Wright Settlements, Inc. is a leading Detroit neighborhood human services organization.",Franklin-Wright's values are based on the settlement house concept of self-help for the continuous improvement and preservation of the family. Franklin-Wright strives to achieve this through excellence in service and equality of treatment.,All donations are  tax deductible and you will receive a letter.,Photo save,"7375 Woodward Avenue Detroit, MI 48202",313-309-1300,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/FWSInc/about/?ref=page_internal,"Franklin-Wright Settlements, Inc. does not have any upcoming events.",NA,NA,16/2/2018,
New Outlook Inc,0,"27586 SCHOOLCRAFT RD,LIVONIA , MI 48150 ",38-2320096,NA,NA,734-522-4800,Human Service,Non profit organization,"The mission of New Outlook, Inc. is to provide services and supported living in the community to adults with developmental disabilities and their families. New Outlook, Inc. is committed to assisting and supporting individuals with the opportunity to choose where they live, work and participate in their community.",NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Imani Residential Services ,0,"23480 RENSSELAER ST OAK PARK, MI 48237 ",38-3522430,NA,NA,313-766-6482,Human Service,Non profit organization,ADULT FOSTER CARE RESIDENTIAL,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Amber Way-Wyndham West,0,"2400 PORTAGE ST KALAMAZOO, MI 49001 ",38-3470397,mshankle@heritagecommunity.com,WWW.HERITAGECOMMUNITY.COM,269-382-1255,Human Service,"A not-for-profit organization led by a local volunteer board of directors, we manage our resources in accordance with our mission, and our longstanding values are reflected in our governance and management. We measure success in terms of achieving high standards of excellence in service, and continually strive to ensure that all residents are proud to call our community home.","Since our establishment in 1945, Heritage Community has nurtured a passion for providing the seniors & families of West Michigan with exemplary personalized care. Organized as a nonprofit on principles of honor, community and meaningful living, we understand your desire to continue enjoying life fully. That's why at Heritage Community we offer different branches of care, tailored to your tastes and needs. Here, you decides what suits you best. Our dedicated staff ensures that whatever your choice, you'll find freedom, ease and peace of mind in the coming seasons. Welcome to Heritage Community of Kalamazoo. Local Roots. Vibrant Senior Living.","VOLUNTEERS COME TO HERITAGE FOR MANY REASONS AND IN A VARIETY OF WAYS...Students who are looking to gain experience and knowledge, Family members or residents who are looking to give back, Young adults who simply want to serve Retirees who have talents to share and time to give, From helping in activities like Art and Soul or chair volleyball, to being a one-to-one companion, playing music, providing religious opportunities, our volunteers do it all!  They truly are at the center of the life enrichment we provide for our residents and we couldn't do it without them.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/heritagecommunitykzoo?fref=ts,Heritage Community of Kalamazoo does not have any upcoming events.,NA,NA,16/2/2018,
WOMENS RESOURCE CENTER OF NORTHERN MICHIGAN,0,"423 Porter St Petoskey, MI 49770 USA",38-2302164,jan@wrcnm.org,www.wrcnm.org,231-347-0067,Human Service,"The Women's Resource Center of Northern Michigan (WRCNM) is a non-profit, community-based organization dedicated to serving the women and families of northern lower Michigan. Established in 1977, the WRCNM serves Emmet, Charlevoix, Cheboygan, Otsego and Antrim counties.","The WRC shall serve women, families and all those who choose to participate in, and can benefit from, the Center?s programs. These programs shall attempt to: protect and nurture health and well being; encourage active participation in making life choices; advocate for the positive solution of crisis situations; facilitate personal growth and life-long education; and provide a link to needed community resources.","Volunteers assist in staffing the Safe Home, which provides security and support for survivors of domestic abuse and their children, Monday through Friday evenings (typically from 5-8 pm).  A commitment of at least once a month is required.  Volunteers have direct contact with families staying in the Safe Home.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/WomensResourceCenterOfNorthernMichigan/about/?ref=page_internal,"Pre-St. Patrick's Day FUNdraiser, Friday, March 16 at 5:30 PM - 9 PM EDT, 3600 Village Harbor Dr, Petoskey, Michigan 49770",NA,NA,16/2/2018,
"The Phoenix Society, Inc.",0,"1835 RW Berends Dr. SW Grand Rapids, MI 49519 USA",23-2062352,amy@phoenix-society.org,www.phoenix-society.org,616-458-2773,Human Service,"Founded in 1977, the Phoenix Society for Burn Survivors is the leading national nonprofit organization dedicated to empowering anyone affected by a burn injury. Our name comes from the legendary bird that lives 500 years and is consumed by flame, but rises again???reborn from its ashes???more brilliant than it was before.","The Phoenix Society for Burn Survivors is the leading national non profit organization dedicated to helping burn survivors everywhere get back to living through peer support, education, and advocacy.","When you give to the Phoenix Society, you become one of the people offering care and compassion to the burn survivor community. Every gift is a powerful way of helping burn survivors get back to living.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/PhoenixSocietyforBurnSurvivors/,Phoenix Society for Burn Survivors does not have any upcoming events.,NA,NA,16/2/2018,
"Hospice of Lansing, Stoneleigh Residence & Ionia Area Hospice",0,"3186 Pine Tree Road Lansing, MI 48911 USA",38-2306757,jperson@hospiceoflansing.org,www.hospiceoflansing.org,517-882-4500,Human Service,"Since 1979, the Hospice of Lansing has provided end-of-life care for our community.. At Hospice of Lansing, our only mission is to provide comfort care at the end of life. We believe that a life fully lived, no matter how long, should include an end-of-life experience of comfort, dignity, and peace. Our goal is to keep each person as comfortable and independent as possible, while supporting the emotional and spiritual needs of our patients and their loved ones.","Our mission is to provide comfort care at the end of life. We believe that a life fully lived, no matter how long, should include an end-of-life experience of comfort, dignity, and peace. Our goal is to keep each patient as comfortable and independent as possible, while supporting the emotional and spiritual needs of our patients and their loved ones. We were the first non-profit Hospice in the area and one of the first 100 Hospices in the nation. Our founders were a group of dedicated doctors, nurses and community volunteers that began providing care to the dying on their own time. Our organization began in 1979 before there was insurance reimbursement for Hospice care and this dedication to our patients remains our culture to this day. Ionia Area Hospice, a Hospice also founded by volunteers, approached Hospice of Lansing with a proposal to join forces and a formal partnership was formed in 1984. Should the time come when it is no longer possible for a patient to remain at home, Hospice of Lansing's Stoneleigh Residence is a unique, comfortable, peaceful, and home-like alternative. Surrounded by gardens, a cascading pond, trees and wildlife, the Residence is designed to take full advantage of the natural beauty of its wooded 22-acre site. This home with eight spacious bedrooms and comfortable gathering areas is a peaceful place for patients, their families and loved ones to spend time together at the end of life. We are a true community-based Hospice, created out of necessity and driven by our mission to serve all by bringing kindness, respect and quality to the end-of-life. Hospice of Lansing, Stoneleigh Residence & Ionia Area Hospice provide pain management and personal care, respite care, emotional and spiritual support for patients, volunteer support and grief support for family members after the loss. ","Our volunteers provide invaluable support to our patients, their families, and to our hospice program. Help is needed working with patients and families as well as non-patient-related activities, such as fundraising/event planning, bereavement support, spiritual care support, community presentations, transportation, office work, or respite care and patient companionship. We invite you to attend our volunteer training.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/hospiceoflansing/,Hospice of Lansing & Stoneleigh Residence does not have any upcoming events.,NA,NA,16/2/2018,
Comprehensive Youth Services Inc,0,"2 CROCKER BLVD STE 205 MOUNT CLEMENS , MI 48043 ",38-1948056,info@comprehensiveyouthservices.org,www.COMPREHENSIVEYOUTHSERVICES.ORG,586-463-7079,Human Service,"Comprehensive Youth Services, Inc. (CYS) is a non-profit organization staffed by compassionate skilled professionals and volunteers ??? providing essential community services in Macomb County and throughout Southeast Michigan.","Our organization serves people in their greatest times of need ??? assisting homeless individuals to transition off the streets, counseling people to overcoming substance abuse and mental health problems and presenting families with solutions to relationship challenges.","Your Donation helps Comprehensive Youth Services, Inc. improve lives and offer support to youths and families in their time of need.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Gogebic-Ontonagon Community Action Agency,0,"100 S MILL ST BESSEMER , MI 49911 ",38-1802755,NA,www.gocaa.org,906-667-0283,Human Service,"Improving the quality of life, reducing the causes of hardship, and building self sufficiency for the people of Gogebic and Ontonagon counties.","The Gogebic-Ontonagon Community Action Agency's mission is to design and carry out programs to overcome causes of and instances of poverty, and to develop and administer programs intended to serve and/or improve the total community throughout the Community Action District, which comprises the Michigan counties of Gogebic and Ontonagon, by utilizing the resources of federal, state, and local government agencies, private persons and organizations.","Your donations are greatly appreciated and are used in Gogebic & Ontonagon Counties. All donations will stay anonymous unless otherwise requested by the donor.  If you would like to designate the area in which your donation is used, or the particular service program, you may select the area and program.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Gogebic-Ontonagon-Community-Action-Agency-831309216885869/about/?ref=page_internal,NA,NA,NA,16/2/2018,
Fredericks Family Homes A F C Inc ,0,"14705 ALLEN RD SOUTHGATE, MI 48195 ",38-2267511,NA,NA,734-284-8982,Human Service,Non profit organization,THE ORGANIZATION'S PRIMARY EXEMPT PURPOSE IS TO PROVIDE LIVING QUARTERS FOR MENTALLY DISABLED ADULTS.,NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Fredericks-Family-Homes-Afc/150953031612427,NA,NA,NA,16/2/2018,
The Baptist Manor,0,"30301 W. 13 MIle Rd Farmington Hills, MI 48334 USA",38-6062017,j.voet@thebaptistmanor.org,www.thebaptistmanor.org,248-626-6100,Human Service,Non profit organization,"The Baptist Manor is a non-profit, Christian organization that has provided affordable, quality housing and personal care to senior citizens for the past 63 years. Under the sponsorship of area churches, and through the private support of caring neighbors, our unique complex has grown to become a 35-acre campus with multiple programs. The campus consists of five communities, four located on W. 13 Mile Rd. and the other on Drake Rd. both in Farmington Hills, MI. The residents residing at the Manor come from many cultures, ethnic backgrounds and income levels. We provide a much needed housing option for the significantly under-served/underprivileged low-income segment of the senior population residing in the Metropolitan Detroit Area.","The Baptist Manor, Fund Development Division, is offering the community-at -large an opportunity to help those who can not help themselves, by contributing to                  the DBM Endowment Fund.  ",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/dialog/share?app_id=140586622674265&display=popup&href=http%3A%2F%2Fwww.thebaptistmanor.org%2F&picture=&title=Senior+independent+Living%2C+Assisted+Living+-+The+Baptist+Manor+-+Farmington%2C+Mi&description=Senior+Independent+Living+Apartments.+Subsidized+options+available+%26+The+Haworth+Center%2C+An+Assisted+Living+Facility.+Offering+the+best+in+affordable+senior+living.&redirect_uri=http%3A%2F%2Fs7.addthis.com%2Fstatic%2Fthankyou.html,NA,NA,NA,16/2/2018,
Moore Apartment Non-Profit Housing ,0,"5900 Executive Dr Lansing, MI 48911 ",38-2371545,NA,NA,517-393-2103,Human Service,Non profit organization,To provide state-wide housing,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Moore-Apartment-Non-Profit-Housing/687150328095475,NA,NA,NA,16/2/2018,
Bay Area Family Y,0,"225 WASHINGTON AVE BAY CITY , MI 48708 ",38-1358415,arosbury@ymcabaycity.org,WWW.YMCABAYCITY.ORG,989-895-8596,Human Service,"While the history of the Y was founded on the basis of Christian Judeo principles, the Mission of today???s Y provides an ecumenical delivery of service through programs that build a healthy spirit, mind, and body for all ??? regardless of an individual???s religion, race, age, sex, income, or national origin. We achieve this mission by building strong kids, strong families, and strong communities through a broad spectrum of programs for children, youth, adults, seniors, and families.","WHILE THE HISTORY OF THE Y WAS FOUNDED ON THE BASIS OF JUDEO-CHRISTIAN PRINCIPLES, THE MISSION OF TODAY'S Y PROVIDES AN ECUMENICAL DELIVERY OF SERVICE THROUGH PROGRAMS THAT BUILD A HEALTHY SPIRIT, MIND, AND BODY FOR ALL - REGARDLESS OF AN INDIVIDUAL'S RELIGION, RACE, AGE, SEX, INCOME, OR NATIONAL ORIGIN. WE ACHIEVE THIS MISSION BY BUILDING STRONG KIDS, STRONG FAMILIES, AND STRONG COMMUNITIES THROUGH A BROAD SPECTRUM OF PROGRAMS FOR CHILDREN, YOUTH, ADULTS, SENIORS, AND FAMILIES.","As a Y volunteer, you can lead an exercise class, read to our Preschoolers, coach a basketball team, helping out at a special event, or simply just serve as a role model for young people. No matter how you devote your time, you???ll be working with other volunteers and Y professionals to make a difference in the lives of children and families in your community.",NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/DowBayAreaFamilyY/,NA,NA,NA,16/2/2018,
"Holland Senior Citizens Center, Inc. Evergreen Commons",0,"480 State St Holland, MI 49423 USA",38-2526940,dmknibbe@evergreencommons.org,www.evergreencommons.org,616-396-7100,Human Service,"Evergreen is a Community Benefit Organization offering opportunities, programs and services for adults, age 50+, to live fully while they age in place. It was the generosity of the people of Prince Corporation and the visionary team of senior advocate Marjorie Hoeksema, philanthropist Edgar Prince and his daughter Emilie, which led to Evergreen opening its doors in 1985.","To inspire older adults to live purposeful, active, and holistic lives, in their residence of choice, as fully as they are able. To provide community support services and assisted care to older adults, with honor and respect.","Your gift will help support the mission of Evergreen, both The Commons and Care Services, as we serve older adults. Donations may be made in the form of cash, check, credit card, stocks, real estate, insurance or gifts in kind.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/The-Commons-of-Evergreen/154857031249263,NA,NA,NA,16/2/2018,
Monroe County Opportunity Program ,0,"1140 S TELEGRAPH RD MONROE , MI 48161 ",38-1814239,skaspzrak1140@gmail.com,WWW.MONROECOUNTYOP.ORG,734-241-2775,Human Service,A Community Action Agency serving Monroe County,"Services include housing quality and energy conservation, senior resource services, homeless prevention, transportation and food programs. Services: The Lord's Harvest Pantry, Monroe County Bridges out of Poverty, Homeless Prevention (rental assistance), Homeless Prevention for Monroe County veterans, Home Care to assist disabled residents and seniors with daily routines, Home Chore to assist seniors (60 and older) with home maintenance, Weatherization and Energy Assistance, Utility Assistance, Emergency Housing Rehab, Food programs for low-income Monroe County residents, Transportation for disabled Monroe County residents to non-emergency medical visits",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/mcopmi/events/?ref=page_internal,"Lord's Harvest Pantry, Wed, 17 MAR, 2018, 09:00 ??? 12:00, MCOP, 1140 S. Telegraph Rd, ","Lord's Harvest Pantry, Thu, 19 MAR, 2018, 16:00 ??? 19:00, MCOP, 1140 S. Telegraph Rd, ","Lord's Harvest Pantry, Sat, 21 MAR, 2018, 10:00 ??? 13:00, MCOP, 1140 S. Telegraph Rd, ",16/2/2018,
Samaritan Homes Inc,0,"20100 OUTER DR DEARBORN, MI 48124 ",38-3231093,NA,www.SAMARITANHOMESINC.COM,313-278-5320,Human Service,"Samaritan Homes, Inc. was established in 1994, out of the heart???s cry of its CEO and Founder, Kenneth Jordan.  Mr. Jordan knows and understands the dilemma of families dealing with the care of disabled adults having experienced caring for a disabled family member first hand.","Samaritan Homes, Inc. is an independent organization serving all faiths, whose mission is to provide exceptional residential services and opportunities for adults with intellectual and developmental disabilities due to closed head injuries.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Moore Residential and Related Services,0,"5900 Executive Dr Lansing, MI 48911 ",38-2741357,NA,NA,517-393-2103,Human Service,Non profit organization,To provide state-wide housing,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Moore-Apartment-Non-Profit-Housing/687150328095475,NA,NA,NA,16/2/2018,
YMCA,0,"1525 Third Street Port Huron, MI 48060 ",38-1358417,dan.maier@ymca.net,www.bluewaterymca.com,810-987-6400,Human Service,"Welcome to the Y, a nonprofit organization dedicated to strengthening the West Michigan community. With a focus on developing the potential of kids, improving individual health and well-being, and giving back and supporting our neighbors.","Youth Development, Healthy Living, Social Responsibility. The YMCA of Greater Grand Rapids was founded in 1866 and today has 8 branches along with year-round camping facilities at YMCA Camp Manitou-Lin. The YMCA of Greater Grand Rapids is about promoting youth development, healthy living and social responsibility. Since being a GRYMCA fan means connecting with other???s interested in supporting our cause. We encourage our fans to respect other facebook members, adhere to the posting guidelines of Facebook, and understand that we reserve the right to remove postings that are:
(a) abusive, defamatory, or obscene; 
(b) fraudulent, deceptive, or misleading; 
(c) in violation of any intellectual property right of another; 
(d) in violation of any law or regulation or
(e) otherwise offensive, graphically or in tone","our gift will give health, hope, and access to a healthier lifestyle for people who need it most, but can least afford it.",NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Packard Group Incorporated,0,"PO BOX 2066 SOUTHFIELD , MI 48037 ",38-2752705,packardgroup@aol.com,NA,313-872-7826,Human Service,Non profit organization,RESIDENTIAL CARE FACILITIES FOR MENTALLY CHALLENGED & PHISCALLY HANDICAPPED INDIVIDUALS,NA,NA,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Dickinson Iron Community Services Agency,0,"1238 Carpenter Ave Iron Mountain, MI 49801 ",38-2889846,cbachand@dicsami.org,www.dicsami.org,906-774-2256,Human Service,"DICSA (Dickinson Iron Community Services Agency) is a private, 501(c)(3) nonprofit Community Action Agency located in Iron Mountain, MI.","As a Community Action Agency, it is the mission of the Dickinson Iron Community Services Agency to focus and coordinate all available resources that empower individuals to obtain the opportunities to become self-sufficient.To this end, Dickinson Iron Community Services Agency will sponsor a variety of programs and services intended to promote self-determination and independence for everyone in our community.","DICSA is a 501(c)3 non-profit organization and any donations that you make are tax deductible. Donations are used to supplement the activities of the Family Ties center and care of the program participants through a special meal or treat, new games/activities, neccessary hygiene supplies, or musical entertainment for a special party!",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/dicsami,DICSA does not have any upcoming events.,NA,NA,16/2/2018,
Child and Family Service of Saginaw County,0,"2806 Davenport Ave Saginaw, MI 48602 ",38-1366910,NA,WWW.CHILDANDFAMILYSAGINAW.ORG,989-790-7500,Human Service,"Child & Family Services of Saginaw is dedicated to improving the quality of life for individuals and families as experts in emotional health. Created in 1870, Child & Family Services has a long history of meeting the needs of those who reside in the Great Lakes Bay Region.","The Counseling Center is designed to help individuals and familes deal with difficult life stressors. Master's level, licensed clincians provide comprehensive outpatient counseilng to children, adolescents, adults and families. Psychiatric evaluation and medicaton management is available on site as needed.","When you donate to Child & Family Services, you help provide hope and emotional healing to those seeking help.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pg/Childandfamilysaginaw/about/?ref=page_internal,"2018 ???Strike Out Sexual Assault??? Bowl-A-Thon, Friday, April 13, 2018, 6:30 pm - 10:00 pm, Stardust Lanes 3750 Bay Road Saginaw, Michigan","2018 Denim Day, Wednesday, April 25, 2018, 12:00 AM - 12:00 PM, Saginaw County, Michigan",NA,16/2/2018,
Housing Resources Inc,0,"420 E. Alcott Suite 200 Kalamazoo, MI 49001 USA",38-2474879,gbarnum@housingresourcesinc.org,www.housingresourcesinc.org,269-382-0287,Human Service,"Established in 1982 as a 501 c (3) non-profit organization, HRI has dedicated its efforts to finding housing solutions for individuals in the midst of a housing crisis, as well as on behalf of the community at large.","The mission of HRI is to assure housing for socially and economically vulnerable residents of Kalamazoo County, Michigan. Established in 1982, HRI has dedicated its efforts to finding housing solutions for individuals in the midst of a housing crisis, as well as on behalf of the community at large. Our services are designed to stabilize homeless households and help those in jeopardy of losing their housing, so they are more likely to avoid a repeat situation. HRI provides a continuum of services that include emergency shelter, homeless prevention and rapid re-housing programs, transitional and permanent housing solutions in addition to developing 281 units of low income housing tax credit affordable housing options.","You can help us make a difference , One family at a time",Photo save,"522 Eleanor St. Kalamazoo, MI 49007",269.382.5609,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/HousingResourcesKalamazoo/,"Dine In with HRI at Latitude 42, Monday, March 12 at 5 PM - 8 PM EDT, 6101 W Main St, Kalamazoo, MI 49009-8903, United States","HRI Walk to End Homelessness, Saturday, March 24 at 9 AM - 11:30 AM EDT, 251 Mills St, Kalamazoo, Michigan 49048, ",NA,16/2/2018,
Jsl Foundation,0,"15000 WEST TEN MILE ROAD OAK PARK, MI 48237 ",38-2693397,rfein@jslmi.org,WWW.JSLMI.ORG,248-967-4240,Human Service,"Jewish Senior Life is an organization  which has served the Jewish community of metropolitan Detroit for nearly a century. Today, this premier agency for older adults provides residences, programs and services for older adults, helping them age with dignity, whether they remain independent in their own homes or find a need for a new communal residence that provides support and community in a dynamic and engaging way.","JEWISH SENIOR LIFE OF METROPOLITAN DETROIT IS DEDICATED TO ENHANCING THE QUALITY OF LIFE FOR OLDER ADULTS OF THE METROPOLITAN DETROIT JEWISH COMMUNITY THROUGH THE PROVISION OF PERSONALIZED HIGH QUALITY PROGRAMS AND SERVICES THAT SUPPORT THE AGING WITH DIGNITY AND CHOICE, TO MAXIMIZE INDEPENDENCE AND EMBRACE JEWISH VALUES.","Your gift can make a real difference in the life of older adults. We are grateful for all donations, from the very smallest to the very largest. It takes a community to nurture a soul.",Photo save,"6710 WEST MAPLE ROAD WEST BLOOMFIELD, MI 48322 ",NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,Jsl Foundation does not have any upcoming events.,NA,NA,16/2/2018,
CATHOLIC CHARITIES OF JACKSON ,0,"3425 Francis Street Jackson, MI 49203 USA",38-1818593,kjansen@catholiccharitiesjlhc.org,www.ccjlhc.org,517-782-2551,Human Service,Non profit organization,"The mission of Catholic Charities of Jackson County is the work of the Catholic Church, to share the love of Christ by performing the corporal and spirtual works of mercy.","Volunteering is a way of giving back our time and resources to people who need our services. Anyone who has ever volunteer can attest to the fact that voluntary work boosts the moods because it makes you feel like you made a difference without being paid to do it. If you are one among the many people who are considering volunteering but are not sure what you stand to gain, read along to learn about the many benefits of volunteering.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Heritage Community of Kalamazoo ,0,"2400 Portage St Kalamazoo, MI 49001 USA",38-2758582,jprince@heritagecommunity.com,www.heritagecommunity.com,269-382-1255,Human Service,"A not-for-profit organization led by a local volunteer board of directors, we manage our resources in accordance with our mission, and our longstanding values are reflected in our governance and management. We measure success in terms of achieving high standards of excellence in service, and continually strive to ensure that all residents are proud to call our community home.","Since our establishment in 1945, Heritage Community has nurtured a passion for providing the seniors & families of West Michigan with exemplary personalized care. Organized as a nonprofit on principles of honor, community and meaningful living, we understand your desire to continue enjoying life fully. That's why at Heritage Community we offer different branches of care, tailored to your tastes and needs. Here, you decides what suits you best. Our dedicated staff ensures that whatever your choice, you'll find freedom, ease and peace of mind in the coming seasons. Welcome to Heritage Community of Kalamazoo. Local Roots. Vibrant Senior Living.","VOLUNTEERS COME TO HERITAGE FOR MANY REASONS AND IN A VARIETY OF WAYS...Students who are looking to gain experience and knowledge, Family members or residents who are looking to give back, Young adults who simply want to serve Retirees who have talents to share and time to give, From helping in activities like Art and Soul or chair volleyball, to being a one-to-one companion, playing music, providing religious opportunities, our volunteers do it all!  They truly are at the center of the life enrichment we provide for our residents and we couldn't do it without them.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/heritagecommunitykzoo?fref=ts,Heritage Community of Kalamazoo does not have any upcoming events.,NA,NA,16/2/2018,
Community Opportunity Center Non- Profit Housing Corporation ,0,"14147 FARMINGTON RD LIVONIA, MI 48154 ",38-3143428,NA,www.cocliving.com,734-422-1020,Human Service,"The COC Board of Directors, administrative leadership, and staff are committed to effectively guiding and assisting persons with developmental disabilities to maintain equality, integrity, and respect throughout their lives.",TO PROVIDE QUALITY HOUSING AND COMPREHENSIVE SUPPORT FOR PERSONS WITH DEVELOPMENTAL DISABILITIES AND TO PROVIDE ASSISTANCE AND ADVOCACY TO HELP THEM BECOME INDEPENDENT CITIZENS INVOLVED IN THEIR COMMUNITY.,"As individuals age, COC often finds itself self-funding the extra staff and services they need. As such, fundraising is necessary to ensure that COC has the resources we need to properly serve each person we support. COC is a non-profit, 501(c) (3) organization providing support to people with mental retardation and other developmental disabilities.",Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,https://www.facebook.com/pages/Community-Opportunity-Center/139919749396764,NA,NA,NA,16/2/2018,
"Hope Medical Clinic, Inc.",0,"PO Box 980311 Ypsilanti, MI 48198 ",38-2469007,crobinson@thehopeclinic.org,www.thehopeclinic.org,734-484-2989,Human Service,"Hope is a nonprofit, Hope Clinic provides compassionate and practical help to those in need. We offer medical care and dental care to the uninsured, plus a variety of social services to minister to the whole person.","Hope is a nonprofit, interdenominational Christian medical and social service organization, providing compassionate and practical help to those in need and ministering to the whole person. This includes providing comprehensive health care for the medically indigent and a range of other services aimed either at meeting basic needs or equipping people with the tools needed to improve the quality of their lives and/or to become self sufficient. Hope Clinic, established in 1982 by Dr. Dan Heffernan, was incorporated as a nonprofit organization in 1987. Besides the Medical Clinic, Hope's other programs and services have been developed in response to identified community needs. An all-volunteer organization until 1990, Hope is still volunteer-driven but has a small paid staff.",Give a financial gift of any size to make a difference in many lives.,Photo save,"518 Harriet St. Ypsilanti, MI 48197 ",NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
Vocational Independence Program VIP,0,"G5069 VAN SLYKE ROAD FLINT, MI 48507 ",38-1558541,shawnb@viprogram.org,www.viprogram.org,810-238-3671,Human Service,Non profit organization,"The VIP Program Work Activity Center provides services for adults with developmental disabilaties in Genesee County. The Work Activity Center emphasizes training in work, activities of daily living, and social skills. Consumers are involved in production, assembly and product manufacturing in addition to group skill development activities such as communication, health and safety, community awareness and independent living issues.",NA,Photo save,NA,NA,This organization is required to file an IRS Form 990 or 990-EZ.,NA,NA,NA,NA,16/2/2018,
